,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density,additional_perception
10,밍경댕,A6,dancing,7.0,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",춤 동작과 화법이 약간 날리는 느낌이라 역동적으로 느껴짐,8.0,8 |  화려한 색상을 보면  빠른 템포가 상상됨.,9.0,9 |  발레 중에서도 밝은 쪽이 상상감.,2.0,2 |  인원도 한명이고 가벼운 연주에 춤을 추는 느낌임.,
11,배뀽,A6,dancing,7.0,"[0, 0, 0, 0]","[0, 1, 1, 0]","[1, 1, 1, 1]","[0, 1, 1, 0]",여자의 캉캉춤 바람의 흩날림을 표현해놓음,7.0,7 | 휘모리 장단에서 춤추는 것 같음 여자의 표정에 여유가 없음,9.0,9 | 하얀색과 빨간색 치마가 열정적으로 노래가 빠를 것 같음,8.0,8 | 촙촘해서 빠른 느낌,
12,미지,A6,dancing,9.0,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",치마의 펄럭임,1.0,10 | 실제로 플라멩코 음악이 빠른템포이기 때문에,5.0,5 | 실제 플라멩코 음악을 떠올렸을때 어울림,8.0,8 | 실제 플라멩코 음악을 떠올렸을때 어울림,
13,boldmas,A6,dancing,7.0,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",the movements of the subject's skirt and the brush strokes that go in different directions,7.0,7 | She seems to be dancing quickly because her skirt is wildly moving around.,8.0,"8 | According to her dress movements and her position, it seems like the music should sound lively.",7.0,7 | The music should be associated with the different colors of her dress and her swift movements.,
14,Seong Ho,A6,dancing,8.0,"[0,0,0,0]","[0,1,1,1]","[1,1,1,1]","[0,0,1,0]","춤추는 여자, 여자의 옷깃에 날리는 바람을 표현한 점이 역동적임.",8.0,  적당히 빨랐으면 함.,6.0,,7.0,"  춤을 추고 있는 여성이 한명이고, 배경이 단조로움.",약간의 화려함.
15,6400dc9af341e8a575a457f6,A6,dancing,5.0,"[0,0,1,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",indicates person moving,9.0,,8.0,,10.0,,
16,6400dc9af341e8a575a457f6,A6,dancing,5.0,"[0,0,1,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",indicates person moving,9.0,,8.0,,10.0,,
17,5e4875f3110b3730eefa32a1,A6,dancing,4.0,"[0,1,1,0]","[0,1,1,0]","[0,1,1,0]","[0,0,0,0]",the character itself is dynamic,8.0,,4.0,,6.0,,
18,5e909d9ac9ce2503b2650797,A6,dancing,4.0,"[0,0,0,0]","[0,0,1,0]","[0,1,1,0]","[0,0,0,0]",the wave of the dress,7.0,,7.0,,6.0,,
19,5fc00a11268eb941e7d8b066,A6,dancing,2.0,"[0,0,0,0]","[0,0,0,0]","[0,0,1,0]","[0,0,0,0]",The red swinging dress is eye-catching.,6.0,,7.0,,3.0,,
20,5b295f60bbd4880001117976,A6,dancing,5.0,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,0,0,0]",Lady is dancing swishing her skirts.,5.0,,6.0,,6.0,,
21,630100561dc47fd83f5b4745,A6,dancing,9.0,"[0,0,0,0]","[0,1,1,1]","[0,1,1,0]","[0,0,0,0]",Movement from the lower half of the women's body makes it seem that she is swaying side to side. ,7.0,,8.0,,7.0,,
22,5f7959d0b6791155e6932dd1,A6,dancing,6.0,"[0,0,0,0]","[0,0,1,0]","[0,1,1,0]","[0,0,0,0]",The swish of the skirt and the movement is what gives the picture dynamism.,6.0,  The tempo should be faster to show the dancing movement of the figure in the picture.,6.0,  The tempo can be middle verging to high as the picture shows a sexy fun sense to the dance.,6.0,  Not to light but not to heavy as the dance in the picture is fun (light) but also sexy (dense).,The swish of the skirt should be depicted in the rhythm of the music.
23,5967e9a831394d0001abdb3f,A6,dancing,7.0,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]","The figure is dancing, creating dynamism by the implied movement in the artwork",6.0,,5.0,,6.0,  Need to create a sense of drama,
24,657421f9661ce9a8cd7482d1,A6,dancing,9.0,"[0,0,0,0]","[0,1,1,1]","[0,1,1,1]","[0,1,1,1]",A perfect and unique sense of dynamic art work,5.0,  Moderate tempo music is good for the art work ,5.0,  Moderate pitch music is good for the art work ,5.0,  Moderate density music is good for the art work ,
25,5e56590389b924000c184113,A6,dancing,8.0,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,0,0,0]",Movement of skirts and dance,8.0,,5.0,,5.0,,Rhythmic beat and sense of rhythm.
26,65c4bfbc22bc351322c66e32,A6,dancing,6.0,"[0,0,1,0]","[0,1,0,0]","[0,0,1,0]","[0,1,0,0]",Very beautiful,3.0,,3.0,,5.0,,
27,63f77942d3cad20e65a411a9,A6,dancing,5.0,"[0,0,1,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",the dancing lady,7.0,,6.0,,8.0,,
28,5c584d2040378900013b6fb9,A6,dancing,5.0,"[0,0,1,0]","[0,1,1,0]","[0,1,1,0]","[0,1,0,0]",This shows the energy of her dress and possibly body,6.0,,5.0,,5.0,,
29,613e454dca2db9fcef1f8e8d,A6,dancing,8.0,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,0,0,0]","The movement of the skirt and the dancer's upper body, the lines around the skirt that indicate movment.",8.0,"  This looks like spanish flamenco which is very fast paced, the dress indicates this type of music",3.0,"  Fast and intense, depth of emotion conveyed by lower tones rather than light.",3.0,  I imagine this to be one or two instruments.,
